,hotel,price,rating,start_date,city
177,Hesperia Barcelona Del Mar,1046,8.0,2023-05-15,Barcelona
178,Catalonia Roma,1196,8.1,2023-05-15,Barcelona
179,Hotel Casa Bonay,1474,9.0,2023-05-15,Barcelona
180,Petit Palace Museum,1516,8.5,2023-05-15,Barcelona
181,Exe Ramblas Boquería,"Price €&nbsp;1,745",8.3,2023-05-15,Barcelona
182,EA Sagrada Familia IV Great Apartment 6 pax next Sagrada Familia WAS 3,2004,nan,2023-05-15,Barcelona
183,Hostal Drassanes,550,6.5,2023-05-15,Barcelona
184,Hostal La Terrassa,720,8.2,2023-05-15,Barcelona
185,Hostal Sans,Price €&nbsp;592,7.7,2023-05-15,Barcelona
186,Hotel SB Diagonal Zero Barcelona 4* Sup,772,7.6,2023-05-15,Barcelona
187,H La Paloma Adults Only,714,7.7,2023-05-15,Barcelona
188,Boutique Apartments 23 Barcelona,1389,8.3,2023-05-15,Barcelona
189,Hostal Paris,1081,7.3,2023-05-15,Barcelona
190,Catalonia Rigoletto,1146,8.5,2023-05-15,Barcelona
191,Attica 21 Barcelona Mar,993,8.3,2023-05-15,Barcelona
192,The Moods Oasis,1017,8.7,2023-05-15,Barcelona
193,Antiga Casa Buenavista,1865,9.4,2023-05-15,Barcelona
194,H10 Urquinaona Plaza,1719,8.8,2023-05-15,Barcelona
195,Hotel Alimara,Price €&nbsp;752,8.3,2023-05-15,Barcelona
196,Ilunion Auditori,1098,8.1,2023-05-15,Barcelona
197,Hostal Conde Güell,486,8.6,2023-05-15,Barcelona
198,Pensión 45,582,5.8,2023-05-15,Barcelona
199,Ilunion Barcelona,1210,8.3,2023-05-15,Barcelona
200,"Hotel Bagués, a Small Luxury Hotel of the World","Price €&nbsp;2,005",8.7,2023-05-15,Barcelona
201,Hotel Ronda Lesseps,788,8.2,2023-05-15,Barcelona
202,The MO GOTIC,680,7.8,2023-05-15,Barcelona
203,Charmsuites Nou Rambla,1063,7.7,2023-05-15,Barcelona
204,H10 Itaca,1001,8.4,2023-05-15,Barcelona
205,Catalonia Park Putxet,926,7.7,2023-05-15,Barcelona
206,Hotel Acta Azul Barcelona,1116,8.0,2023-05-15,Barcelona
207,Barcelona Apartment Sagrada Familia,1493,7.9,2023-05-15,Barcelona
208,SmartRoom Barcelona,1496,8.3,2023-05-15,Barcelona
209,Boutique Hotel H10 Catalunya Plaza,1481,8.5,2023-05-15,Barcelona
210,Hostal Barcelona,624,6.9,2023-05-15,Barcelona
211,CIUDADELA PARK 1,1588,9.5,2023-05-15,Barcelona
212,Hotel Suizo,959,8.2,2023-05-15,Barcelona
213,Sixtytwo Hotel,1609,9.2,2023-05-15,Barcelona
214,Mercer Hotel Barcelona,3319,9.2,2023-05-15,Barcelona
215,HCC Montblanc,980,8.4,2023-05-15,Barcelona
216,Inside Barcelona Apartments Esparteria,1219,8.6,2023-05-15,Barcelona
217,Andante Hotel,1170,8.6,2023-05-15,Barcelona
218,Charmsuites Paralel,Price €&nbsp;899,7.8,2023-05-15,Barcelona
219,The Hotel 592 - Adults Only,1116,8.6,2023-05-15,Barcelona
220,Barcelona Central Apartments,737,6.7,2023-05-15,Barcelona
221,Catalonia Barcelona 505,946,8.0,2023-05-15,Barcelona
222,Alguera Hola Apartments,1063,8.4,2023-05-15,Barcelona
223,Izaila Plaza Catalunya,1309,9.1,2023-05-15,Barcelona
224,Monument Hotel,3095,9.2,2023-05-15,Barcelona
225,Amra Barcelona Gran Via,1136,8.5,2023-05-15,Barcelona
226,La Mejor Zona de Barcelona,1151,9.5,2023-05-15,Barcelona
227,BCN Urbaness Hotels Del Comte,1143,8.0,2023-05-15,Barcelona
228,W Barcelona,2640,8.4,2023-05-15,Barcelona
229,Barcelona Apartment Val,1773,8.1,2023-05-15,Barcelona
230,El Avenida Palace,1241,8.5,2023-05-15,Barcelona
231,Hotel Derby,1137,8.4,2023-05-15,Barcelona
232,Express by gaiarooms,1040,7.1,2023-05-15,Barcelona
233,H10 Metropolitan 4* Sup,1702,8.8,2023-05-15,Barcelona
234,La Guarida Suites,2213,8.0,2023-05-15,Barcelona
235,Ciutat de Barcelona,1260,8.2,2023-05-15,Barcelona
236,Espacioso Velero junto a la playa BCN,792,8.3,2023-05-15,Barcelona
237,Bcn Urbaness Hotels Gran Rosellon,1244,8.0,2023-05-15,Barcelona
238,Modern and bright apartment in Eixample 2-1,1626,nan,2023-05-15,Barcelona
239,Hotel Viladomat by Silken,"Price €&nbsp;1,010",7.6,2023-05-15,Barcelona
240,Acta Voraport,987,8.7,2023-05-15,Barcelona
241,Vivobarcelona Apartments Princep,1052,8.7,2023-05-15,Barcelona
242,Ciutat Vella,1566,8.2,2023-05-15,Barcelona
243,Barcelona4Seasons - Miro,1109,8.4,2023-05-15,Barcelona
244,Modern and bright apartment in Eixample 3-1,1583,10,2023-05-15,Barcelona
245,Hotel Omnium,1143,9.2,2023-05-15,Barcelona
246,Apartamentos Laforja,815,7.5,2023-05-15,Barcelona
247,Occidental Barcelona 1929,1021,9.0,2023-05-15,Barcelona
248,Àmfores Boutique Guest House,1156,8.1,2023-05-15,Barcelona
249,Novotel Barcelona City,1214,8.1,2023-05-15,Barcelona
250,The Mirror Barcelona,1296,8.3,2023-05-15,Barcelona
251,Barcelona Apartment Milà,1596,8.0,2023-05-15,Barcelona
252,Evenia Rossello,1188,8.3,2023-05-15,Barcelona
253,Barcelona Apartment Aramunt,1532,7.6,2023-05-15,Barcelona
254,Casa Maca Guest House,Price €&nbsp;642,7.4,2023-05-15,Barcelona
255,Espais Blaus Apartments,1361,9.2,2023-05-15,Barcelona
256,Silken Ramblas,1265,8.1,2023-05-15,Barcelona
257,Factory Gardens Barcelona,1537,9.0,2023-05-15,Barcelona
258,Hotel del Mar,959,8.4,2023-05-15,Barcelona
259,Vincci Gala,2290,8.7,2023-05-15,Barcelona
260,Condes de Barcelona,"Price €&nbsp;1,609",8.8,2023-05-15,Barcelona
261,Serennia Cest Apartamentos Arc de Triomf,1468,8.3,2023-05-15,Barcelona
262,Eco Boutique Hostal Grau,1299,9.0,2023-05-15,Barcelona
263,Hostal Central Barcelona,1106,8.5,2023-05-15,Barcelona
264,Four Points by Sheraton Barcelona Diagonal,930,8.8,2023-05-15,Barcelona
265,Key PENTHOUSE Sagrada Familia,1075,7.3,2023-05-15,Barcelona
266,Apartment Consell de Cent,1167,8.7,2023-05-15,Barcelona
267,Amra Barcelona Caspe,1136,8.2,2023-05-15,Barcelona
268,La Meva Llar Olivera-45,1351,6.0,2023-05-15,Barcelona
269,Sofitel Barcelona Skipper,2354,8.9,2023-05-15,Barcelona
270,Residencia Universitaria Campus del Mar,908,7.5,2023-05-15,Barcelona
271,Hotel Sagrada Familia,802,8.3,2023-05-15,Barcelona
272,Iberostar Selection Paseo de Gracia 4 Sup,1922,8.9,2023-05-15,Barcelona
273,Paseo de Gracia Bas Apartments by Aspasios,1812,9.1,2023-05-15,Barcelona
274,Acta Antibes,846,8.6,2023-05-15,Barcelona
275,Forget Me Not Barcelona,1668,9.0,2023-05-15,Barcelona
276,Apartment Caspe,3395,8.0,2023-05-15,Barcelona
277,ROMANTIC apart,1043,8.2,2023-05-15,Barcelona
278,Unite Hostel Barcelona,1037,8.3,2023-05-15,Barcelona
279,Sercotel Caspe,991,8.4,2023-05-15,Barcelona
280,Flat Poble Sec Magalhaes/Apartment,1413,8.6,2023-05-15,Barcelona
281,Ilunion Bel-Art,1232,8.0,2023-05-15,Barcelona
282,Passeig de Gracia Apartment,1543,9.3,2023-05-15,Barcelona
283,Barceló Sants,1000,8.7,2023-05-15,Barcelona
284,Mayerling Abamita Apartments,1641,8.5,2023-05-15,Barcelona
285,21PER3 - Cozy apartment in Vila de Gracia,1464,8.0,2023-05-15,Barcelona
286,Fira Apartments by gaiarooms,1501,7.9,2023-05-15,Barcelona
287,Cami Gallery Barcelona,981,8.4,2023-05-15,Barcelona
288,Serennia Apartamentos Ramblas - Plaça Catalunya,2073,8.5,2023-05-15,Barcelona
289,"Apartamento barcelona, 3 dormitorios, 8 personas - ES-175-7",1955,nan,2023-05-15,Barcelona
290,Fisa Rentals Ramblas Apartments,1530,8.4,2023-05-15,Barcelona
291,Aparthotel Arai 4* Superior,"Price €&nbsp;1,874",8.9,2023-05-15,Barcelona
292,Happy Apartments,1853,8.5,2023-05-15,Barcelona
293,Inside Barcelona Apartments Sants,Price €&nbsp;920,8.7,2023-05-15,Barcelona
294,Blanc Guest House,879,8.7,2023-05-15,Barcelona
295,Fantastic apartment near Plaça Francesc Macia in L'Eixample Esquerra,1851,8.2,2023-05-15,Barcelona
296,Olivia Plaza Hotel,1936,9.3,2023-05-15,Barcelona
297,Mesón Castilla Atiram Hotels,985,8.0,2023-05-15,Barcelona
298,La Rambla Apartments,1933,nan,2023-05-15,Barcelona
299,Hilton Diagonal Mar Barcelona,1352,7.5,2023-05-15,Barcelona
300,Abba Garden,727,8.2,2023-05-15,Barcelona
301,Las Ramblas Bcn Excellent Location 5 pax,1936,nan,2023-05-15,Barcelona
302,Casp 74 Apartments,2326,9.1,2023-05-15,Barcelona
303,Oriente Atiram,1061,7.8,2023-05-15,Barcelona
304,Barcelona - Carrer Muntanya,833,7.0,2023-05-15,Barcelona
305,Durlet Beach Apartments,1320,8.7,2023-05-15,Barcelona
306,The Loft Hostel,920,8.0,2023-05-15,Barcelona
307,APTBCN Super Balmes Guest House,Price €&nbsp;886,8.5,2023-05-15,Barcelona
308,The MO House,932,8.2,2023-05-15,Barcelona
309,Luxury Loft with balcony + Pool,1576,1.0,2023-05-15,Barcelona
310,"Radisson Blu 1882 Hotel, Barcelona Sagrada Familia",1486,8.9,2023-05-15,Barcelona
311,a18' de Barcelona y 7' de circuito de Cataluña,790,9.3,2023-05-15,Barcelona
312,Hotel Miramar Barcelona GL,1622,7.9,2023-05-15,Barcelona
313,Silken Sant Gervasi,808,8.4,2023-05-15,Barcelona
314,Hotel Villa Emilia,1369,8.9,2023-05-15,Barcelona
315,Lodging Apartments Gaudi Views,2150,9.3,2023-05-15,Barcelona
316,Barcelona Apartment Republica,1429,7.7,2023-05-15,Barcelona
317,Ilunion Les Corts Spa,1114,7.8,2023-05-15,Barcelona
318,AC Hotel Sants by Marriott,1109,8.2,2023-05-15,Barcelona
319,Habitat Apartments La Bohème,1313,7.7,2023-05-15,Barcelona
320,73COP54 - Spacious apartment with terrace,1448,nan,2023-05-15,Barcelona
321,Aparthotel Napols - Abapart,Price €&nbsp;803,8.2,2023-05-15,Barcelona
322,Ola Living Portaferrissa,1619,8.2,2023-05-15,Barcelona
323,Mini house LOFT 25m2 in Barcelona,593,7.6,2023-05-15,Barcelona
324,Modern and bright apartment in Eixample 4-2,1539,nan,2023-05-15,Barcelona
325,Coronado,705,6.7,2023-05-15,Barcelona
326,Hotel Laumon,752,8.2,2023-05-15,Barcelona
327,Residència Erasmus Gracia,777,8.0,2023-05-15,Barcelona
328,Hostal Live Natura Barcelona,840,8.1,2023-05-15,Barcelona
329,Hostal Argo,744,7.5,2023-05-15,Barcelona
330,Sonder Los Arcos,1541,nan,2023-05-15,Barcelona
331,Hostal Hera,754,8.0,2023-05-15,Barcelona
332,Anais Apartments by gaiarooms,1487,7.6,2023-05-15,Barcelona
333,Mihlton Barcelona Boutique B&amp;B,1034,8.7,2023-05-15,Barcelona
