,hotel,price,rating,start_date,city
207,Casa Boma Lisboa - Charming and Typical Apartment - Lapa III,839,7.6,2023-05-29,Lisboa
208,Vila Garden Guesthouse,749,9.0,2023-05-29,Lisboa
209,Chalet D´Ávila Guest House,444,9.0,2023-05-29,Lisboa
210,Crisapartment,924,9.4,2023-05-29,Lisboa
211,O Elétrico Guesthouse,366,8.3,2023-05-29,Lisboa
212,Hotel Borges Chiado,589,7.9,2023-05-29,Lisboa
213,Palácio Camões - Lisbon Serviced Apartments,1178,8.2,2023-05-29,Lisboa
214,Hills Hotel Lisboa,1266,8.2,2023-05-29,Lisboa
215,SANA Rex Hotel,973,7.5,2023-05-29,Lisboa
216,TURIM Lisboa Hotel,800,7.9,2023-05-29,Lisboa
217,Corinthia Lisbon,2970,8.8,2023-05-29,Lisboa
218,Apt in Lisbon Oriente 25 - Parque das Nações,1193,8.4,2023-05-29,Lisboa
219,Charm @ the very heart of Lisboa,620,nan,2023-05-29,Lisboa
220,The Hygge Lisbon Suites - Estrela,1092,8.0,2023-05-29,Lisboa
221,Estrela Penthouse - Amazing Views,1434,9.1,2023-05-29,Lisboa
222,GuestReady - Sweet Alcantara,880,6.3,2023-05-29,Lisboa
223,Inn-Chiado Restauradores Prime Suites,607,7.9,2023-05-29,Lisboa
224,Lisbon Apartments in Anjos,669,9.7,2023-05-29,Lisboa
225,V Dinastia,564,7.2,2023-05-29,Lisboa
226,The Lisboans Apartments,1824,9.4,2023-05-29,Lisboa
227,Hotel da Estrela - by Unlock Hotels,1030,8.4,2023-05-29,Lisboa
228,GuestReady - Bella Vistas,1108,8.7,2023-05-29,Lisboa
229,Ferraria XVI FLH Hotels Lisboa,1566,9.2,2023-05-29,Lisboa
230,Flat Chiado 1,548,7.7,2023-05-29,Lisboa
231,Casa do Conde,649,8.1,2023-05-29,Lisboa
232,The Postcard Avenue,606,8.3,2023-05-29,Lisboa
233,Lisbon Garden Boutique Guest House,420,8.6,2023-05-29,Lisboa
234,Your Home in Bairro Alto,834,7.5,2023-05-29,Lisboa
235,Trendy Apartment in Bairro Alto,782,9.7,2023-05-29,Lisboa
236,The Estrela Apartment,759,8.9,2023-05-29,Lisboa
237,In the heart of Lisbon,824,8.4,2023-05-29,Lisboa
238,Hotel Florida,965,7.7,2023-05-29,Lisboa
239,My Bairro Alto Suites,1038,7.7,2023-05-29,Lisboa
240,Lisbon Serviced Apartments - Baixa,1288,8.6,2023-05-29,Lisboa
241,Hotel MeraPrime Gold Lisboa,1240,8.6,2023-05-29,Lisboa
242,Lisbon Wine Hotel,1469,9.2,2023-05-29,Lisboa
243,Home Out Rooms &amp; Apartments,579,8.7,2023-05-29,Lisboa
244,Hotel Lis Baixa,1193,8.6,2023-05-29,Lisboa
245,Lisbon Serviced Apartments - Mouraria,1032,8.4,2023-05-29,Lisboa
246,Find Me Inn Alcantara,952,8.9,2023-05-29,Lisboa
247,Casa do Principe,1038,8.3,2023-05-29,Lisboa
248,Hotel Alicante,594,7.5,2023-05-29,Lisboa
249,The Leaf Boutique Hotel Lisbon,883,8.9,2023-05-29,Lisboa
250,Alfama Lisbon Studio,618,8.2,2023-05-29,Lisboa
251,Lisbon Five Stars Apartments 8 Building,1502,8.2,2023-05-29,Lisboa
252,Hotel Avenida Park,436,7.1,2023-05-29,Lisboa
253,Alfama 44,894,8.6,2023-05-29,Lisboa
254,Casa do Patio by Shiadu,1481,8.9,2023-05-29,Lisboa
255,Lost Lisbon :: Cais House,1464,8.8,2023-05-29,Lisboa
256,Portas do Teatro Apartments,1314,7.8,2023-05-29,Lisboa
257,The 8 - Downtown Suites,944,8.2,2023-05-29,Lisboa
258,Hotel Ibis Lisboa Parque das Nações,578,8.2,2023-05-29,Lisboa
